Value,Byte1,Byte2,IANA,DTLS?,Reference,OpenSSL,Version,Kx,Au,Enc,Mac,Export?
"0xC0,0x1A",0xC0,0x1A,TLS_SRP_SHA_WITH_3DES_EDE_CBC_SHA,true,[RFC5054],SRP-3DES-EDE-CBC-SHA,SSLv3,SRP,SRP,3DES(168),SHA1,false
"0xC0,0x1B",0xC0,0x1B,TLS_SRP_SHA_RSA_WITH_3DES_EDE_CBC_SHA,true,[RFC5054],SRP-RSA-3DES-EDE-CBC-SHA,SSLv3,SRP,RSA,3DES(168),SHA1,false
"0xC0,0x1C",0xC0,0x1C,TLS_SRP_SHA_DSS_WITH_3DES_EDE_CBC_SHA,true,[RFC5054],SRP-DSS-3DES-EDE-CBC-SHA,SSLv3,SRP,DSS,3DES(168),SHA1,false
"0xC0,0x1D",0xC0,0x1D,TLS_SRP_SHA_WITH_AES_128_CBC_SHA,true,[RFC5054],SRP-AES-128-CBC-SHA,SSLv3,SRP,SRP,AES(128),SHA1,false
"0xC0,0x1E",0xC0,0x1E,TLS_SRP_SHA_RSA_WITH_AES_128_CBC_SHA,true,[RFC5054],SRP-RSA-AES-128-CBC-SHA,SSLv3,SRP,RSA,AES(128),SHA1,false
"0xC0,0x1F",0xC0,0x1F,TLS_SRP_SHA_DSS_WITH_AES_128_CBC_SHA,true,[RFC5054],SRP-DSS-AES-128-CBC-SHA,SSLv3,SRP,DSS,AES(128),SHA1,false
"0xC0,0x20",0xC0,0x20,TLS_SRP_SHA_WITH_AES_256_CBC_SHA,true,[RFC5054],SRP-AES-256-CBC-SHA,SSLv3,SRP,SRP,AES(256),SHA1,false
"0xC0,0x21",0xC0,0x21,TLS_SRP_SHA_RSA_WITH_AES_256_CBC_SHA,true,[RFC5054],SRP-RSA-AES-256-CBC-SHA,SSLv3,SRP,RSA,AES(256),SHA1,false
"0xC0,0x22",0xC0,0x22,TLS_SRP_SHA_DSS_WITH_AES_256_CBC_SHA,true,[RFC5054],SRP-DSS-AES-256-CBC-SHA,SSLv3,SRP,DSS,AES(256),SHA1,false
"0xC0,0x23",0xC0,0x23,TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256,true,[RFC5289],ECDHE-ECDSA-AES128-SHA256,TLSv1.2,ECDH,ECDSA,AES(128),SHA256,false
"0xC0,0x24",0xC0,0x24,TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384,true,[RFC5289],ECDHE-ECDSA-AES256-SHA384,TLSv1.2,ECDH,ECDSA,AES(256),SHA384,false
"0xC0,0x25",0xC0,0x25,TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA256,true,[RFC5289],ECDH-ECDSA-AES128-SHA256,TLSv1.2,ECDH/ECDSA,ECDH,AES(128),SHA256,false
"0xC0,0x26",0xC0,0x26,TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA384,true,[RFC5289],ECDH-ECDSA-AES256-SHA384,TLSv1.2,ECDH/ECDSA,ECDH,AES(256),SHA384,false
"0xC0,0x27",0xC0,0x27,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,true,[RFC5289],ECDHE-RSA-AES128-SHA256,TLSv1.2,ECDH,RSA,AES(128),SHA256,false
"0xC0,0x28",0xC0,0x28,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384,true,[RFC5289],ECDHE-RSA-AES256-SHA384,TLSv1.2,ECDH,RSA,AES(256),SHA384,false
"0xC0,0x29",0xC0,0x29,TLS_ECDH_RSA_WITH_AES_128_CBC_SHA256,true,[RFC5289],ECDH-RSA-AES128-SHA256,TLSv1.2,ECDH/RSA,ECDH,AES(128),SHA256,false
"0xC0,0x2A",0xC0,0x2A,TLS_ECDH_RSA_WITH_AES_256_CBC_SHA384,true,[RFC5289],ECDH-RSA-AES256-SHA384,TLSv1.2,ECDH/RSA,ECDH,AES(256),SHA384,false
"0xC0,0x2B",0xC0,0x2B,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,true,[RFC5289],ECDHE-ECDSA-AES128-GCM-SHA256,TLSv1.2,ECDH,ECDSA,AESGCM(128),AEAD,false
"0xC0,0x2C",0xC0,0x2C,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,true,[RFC5289],ECDHE-ECDSA-AES256-GCM-SHA384,TLSv1.2,ECDH,ECDSA,AESGCM(256),AEAD,false
"0xC0,0x2D",0xC0,0x2D,TLS_ECDH_ECDSA_WITH_AES_128_GCM_SHA256,true,[RFC5289],ECDH-ECDSA-AES128-GCM-SHA256,TLSv1.2,ECDH/ECDSA,ECDH,AESGCM(128),AEAD,false
"0xC0,0x2E",0xC0,0x2E,TLS_ECDH_ECDSA_WITH_AES_256_GCM_SHA384,true,[RFC5289],ECDH-ECDSA-AES256-GCM-SHA384,TLSv1.2,ECDH/ECDSA,ECDH,AESGCM(256),AEAD,false
"0xC0,0x2F",0xC0,0x2F,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,true,[RFC5289],ECDHE-RSA-AES128-GCM-SHA256,TLSv1.2,ECDH,RSA,AESGCM(128),AEAD,false
"0xC0,0x30",0xC0,0x30,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,true,[RFC5289],ECDHE-RSA-AES256-GCM-SHA384,TLSv1.2,ECDH,RSA,AESGCM(256),AEAD,false
"0xC0,0x31",0xC0,0x31,TLS_ECDH_RSA_WITH_AES_128_GCM_SHA256,true,[RFC5289],ECDH-RSA-AES128-GCM-SHA256,TLSv1.2,ECDH/RSA,ECDH,AESGCM(128),AEAD,false
"0xC0,0x32",0xC0,0x32,TLS_ECDH_RSA_WITH_AES_256_GCM_SHA384,true,[RFC5289],ECDH-RSA-AES256-GCM-SHA384,TLSv1.2,ECDH/RSA,ECDH,AESGCM(256),AEAD,false
"0xC0,0x33",0xC0,0x33,TLS_ECDHE_PSK_WITH_RC4_128_SHA,false,[RFC5489][RFC6347],,,,,,,
"0xC0,0x34",0xC0,0x34,TLS_ECDHE_PSK_WITH_3DES_EDE_CBC_SHA,true,[RFC5489],,,,,,,
"0xC0,0x35",0xC0,0x35,TLS_ECDHE_PSK_WITH_AES_128_CBC_SHA,true,[RFC5489],,,,,,,
"0xC0,0x36",0xC0,0x36,TLS_ECDHE_PSK_WITH_AES_256_CBC_SHA,true,[RFC5489],,,,,,,
"0xC0,0x37",0xC0,0x37,TLS_ECDHE_PSK_WITH_AES_128_CBC_SHA256,true,[RFC5489],,,,,,,
"0xC0,0x38",0xC0,0x38,TLS_ECDHE_PSK_WITH_AES_256_CBC_SHA384,true,[RFC5489],,,,,,,
"0xC0,0x39",0xC0,0x39,TLS_ECDHE_PSK_WITH_NULL_SHA,true,[RFC5489],,,,,,,
"0xC0,0x3A",0xC0,0x3A,TLS_ECDHE_PSK_WITH_NULL_SHA256,true,[RFC5489],,,,,,,
"0xC0,0x3B",0xC0,0x3B,TLS_ECDHE_PSK_WITH_NULL_SHA384,true,[RFC5489],,,,,,,
"0xC0,0x3C",0xC0,0x3C,TLS_RSA_WITH_ARIA_128_CBC_SHA256,true,[RFC6209],,,,,,,
"0xC0,0x3D",0xC0,0x3D,TLS_RSA_WITH_ARIA_256_CBC_SHA384,true,[RFC6209],,,,,,,
"0xC0,0x3E",0xC0,0x3E,TLS_DH_DSS_WITH_ARIA_128_CBC_SHA256,true,[RFC6209],,,,,,,
"0xC0,0x3F",0xC0,0x3F,TLS_DH_DSS_WITH_ARIA_256_CBC_SHA384,true,[RFC6209],,,,,,,
"0xC0,0x40",0xC0,0x40,TLS_DH_RSA_WITH_ARIA_128_CBC_SHA256,true,[RFC6209],,,,,,,
"0xC0,0x41",0xC0,0x41,TLS_DH_RSA_WITH_ARIA_256_CBC_SHA384,true,[RFC6209],,,,,,,
"0xC0,0x42",0xC0,0x42,TLS_DHE_DSS_WITH_ARIA_128_CBC_SHA256,true,[RFC6209],,,,,,,
"0xC0,0x43",0xC0,0x43,TLS_DHE_DSS_WITH_ARIA_256_CBC_SHA384,true,[RFC6209],,,,,,,
"0xC0,0x44",0xC0,0x44,TLS_DHE_RSA_WITH_ARIA_128_CBC_SHA256,true,[RFC6209],,,,,,,
"0xC0,0x45",0xC0,0x45,TLS_DHE_RSA_WITH_ARIA_256_CBC_SHA384,true,[RFC6209],,,,,,,
"0xC0,0x46",0xC0,0x46,TLS_DH_anon_WITH_ARIA_128_CBC_SHA256,true,[RFC6209],,,,,,,
"0xC0,0x47",0xC0,0x47,TLS_DH_anon_WITH_ARIA_256_CBC_SHA384,true,[RFC6209],,,,,,,
"0xC0,0x48",0xC0,0x48,TLS_ECDHE_ECDSA_WITH_ARIA_128_CBC_SHA256,true,[RFC6209],,,,,,,
"0xC0,0x49",0xC0,0x49,TLS_ECDHE_ECDSA_WITH_ARIA_256_CBC_SHA384,true,[RFC6209],,,,,,,
"0xC0,0x4A",0xC0,0x4A,TLS_ECDH_ECDSA_WITH_ARIA_128_CBC_SHA256,true,[RFC6209],,,,,,,
"0xC0,0x4B",0xC0,0x4B,TLS_ECDH_ECDSA_WITH_ARIA_256_CBC_SHA384,true,[RFC6209],,,,,,,
"0xC0,0x4C",0xC0,0x4C,TLS_ECDHE_RSA_WITH_ARIA_128_CBC_SHA256,true,[RFC6209],,,,,,,
"0xC0,0x4D",0xC0,0x4D,TLS_ECDHE_RSA_WITH_ARIA_256_CBC_SHA384,true,[RFC6209],,,,,,,
"0xC0,0x4E",0xC0,0x4E,TLS_ECDH_RSA_WITH_ARIA_128_CBC_SHA256,true,[RFC6209],,,,,,,
"0xC0,0x4F",0xC0,0x4F,TLS_ECDH_RSA_WITH_ARIA_256_CBC_SHA384,true,[RFC6209],,,,,,,
"0xC0,0x50",0xC0,0x50,TLS_RSA_WITH_ARIA_128_GCM_SHA256,true,[RFC6209],,,,,,,
"0xC0,0x51",0xC0,0x51,TLS_RSA_WITH_ARIA_256_GCM_SHA384,true,[RFC6209],,,,,,,
"0xC0,0x52",0xC0,0x52,TLS_DHE_RSA_WITH_ARIA_128_GCM_SHA256,true,[RFC6209],,,,,,,
"0xC0,0x53",0xC0,0x53,TLS_DHE_RSA_WITH_ARIA_256_GCM_SHA384,true,[RFC6209],,,,,,,
"0xC0,0x54",0xC0,0x54,TLS_DH_RSA_WITH_ARIA_128_GCM_SHA256,true,[RFC6209],,,,,,,
"0xC0,0x55",0xC0,0x55,TLS_DH_RSA_WITH_ARIA_256_GCM_SHA384,true,[RFC6209],,,,,,,
"0xC0,0x56",0xC0,0x56,TLS_DHE_DSS_WITH_ARIA_128_GCM_SHA256,true,[RFC6209],,,,,,,
"0xC0,0x57",0xC0,0x57,TLS_DHE_DSS_WITH_ARIA_256_GCM_SHA384,true,[RFC6209],,,,,,,
"0xC0,0x58",0xC0,0x58,TLS_DH_DSS_WITH_ARIA_128_GCM_SHA256,true,[RFC6209],,,,,,,
"0xC0,0x59",0xC0,0x59,TLS_DH_DSS_WITH_ARIA_256_GCM_SHA384,true,[RFC6209],,,,,,,
"0xC0,0x5A",0xC0,0x5A,TLS_DH_anon_WITH_ARIA_128_GCM_SHA256,true,[RFC6209],,,,,,,
"0xC0,0x5B",0xC0,0x5B,TLS_DH_anon_WITH_ARIA_256_GCM_SHA384,true,[RFC6209],,,,,,,
"0xC0,0x5C",0xC0,0x5C,TLS_ECDHE_ECDSA_WITH_ARIA_128_GCM_SHA256,true,[RFC6209],,,,,,,
"0xC0,0x5D",0xC0,0x5D,TLS_ECDHE_ECDSA_WITH_ARIA_256_GCM_SHA384,true,[RFC6209],,,,,,,
"0xC0,0x5E",0xC0,0x5E,TLS_ECDH_ECDSA_WITH_ARIA_128_GCM_SHA256,true,[RFC6209],,,,,,,
"0xC0,0x5F",0xC0,0x5F,TLS_ECDH_ECDSA_WITH_ARIA_256_GCM_SHA384,true,[RFC6209],,,,,,,
"0xC0,0x60",0xC0,0x60,TLS_ECDHE_RSA_WITH_ARIA_128_GCM_SHA256,true,[RFC6209],,,,,,,
"0xC0,0x61",0xC0,0x61,TLS_ECDHE_RSA_WITH_ARIA_256_GCM_SHA384,true,[RFC6209],,,,,,,
"0xC0,0x62",0xC0,0x62,TLS_ECDH_RSA_WITH_ARIA_128_GCM_SHA256,true,[RFC6209],,,,,,,
"0xC0,0x63",0xC0,0x63,TLS_ECDH_RSA_WITH_ARIA_256_GCM_SHA384,true,[RFC6209],,,,,,,
"0xC0,0x64",0xC0,0x64,TLS_PSK_WITH_ARIA_128_CBC_SHA256,true,[RFC6209],,,,,,,
"0xC0,0x65",0xC0,0x65,TLS_PSK_WITH_ARIA_256_CBC_SHA384,true,[RFC6209],,,,,,,
"0xC0,0x66",0xC0,0x66,TLS_DHE_PSK_WITH_ARIA_128_CBC_SHA256,true,[RFC6209],,,,,,,
"0xC0,0x67",0xC0,0x67,TLS_DHE_PSK_WITH_ARIA_256_CBC_SHA384,true,[RFC6209],,,,,,,
"0xC0,0x68",0xC0,0x68,TLS_RSA_PSK_WITH_ARIA_128_CBC_SHA256,true,[RFC6209],,,,,,,
"0xC0,0x69",0xC0,0x69,TLS_RSA_PSK_WITH_ARIA_256_CBC_SHA384,true,[RFC6209],,,,,,,
"0xC0,0x6A",0xC0,0x6A,TLS_PSK_WITH_ARIA_128_GCM_SHA256,true,[RFC6209],,,,,,,
"0xC0,0x6B",0xC0,0x6B,TLS_PSK_WITH_ARIA_256_GCM_SHA384,true,[RFC6209],,,,,,,
"0xC0,0x6C",0xC0,0x6C,TLS_DHE_PSK_WITH_ARIA_128_GCM_SHA256,true,[RFC6209],,,,,,,
"0xC0,0x6D",0xC0,0x6D,TLS_DHE_PSK_WITH_ARIA_256_GCM_SHA384,true,[RFC6209],,,,,,,
"0xC0,0x6E",0xC0,0x6E,TLS_RSA_PSK_WITH_ARIA_128_GCM_SHA256,true,[RFC6209],,,,,,,
"0xC0,0x6F",0xC0,0x6F,TLS_RSA_PSK_WITH_ARIA_256_GCM_SHA384,true,[RFC6209],,,,,,,
"0xC0,0x70",0xC0,0x70,TLS_ECDHE_PSK_WITH_ARIA_128_CBC_SHA256,true,[RFC6209],,,,,,,
"0xC0,0x71",0xC0,0x71,TLS_ECDHE_PSK_WITH_ARIA_256_CBC_SHA384,true,[RFC6209],,,,,,,
"0xC0,0x72",0xC0,0x72,TLS_ECDHE_ECDSA_WITH_CAMELLIA_128_CBC_SHA256,true,[RFC6367],,,,,,,
"0xC0,0x73",0xC0,0x73,TLS_ECDHE_ECDSA_WITH_CAMELLIA_256_CBC_SHA384,true,[RFC6367],,,,,,,
"0xC0,0x74",0xC0,0x74,TLS_ECDH_ECDSA_WITH_CAMELLIA_128_CBC_SHA256,true,[RFC6367],,,,,,,
"0xC0,0x75",0xC0,0x75,TLS_ECDH_ECDSA_WITH_CAMELLIA_256_CBC_SHA384,true,[RFC6367],,,,,,,
"0xC0,0x76",0xC0,0x76,TLS_ECDHE_RSA_WITH_CAMELLIA_128_CBC_SHA256,true,[RFC6367],,,,,,,
"0xC0,0x77",0xC0,0x77,TLS_ECDHE_RSA_WITH_CAMELLIA_256_CBC_SHA384,true,[RFC6367],,,,,,,
"0xC0,0x78",0xC0,0x78,TLS_ECDH_RSA_WITH_CAMELLIA_128_CBC_SHA256,true,[RFC6367],,,,,,,
"0xC0,0x79",0xC0,0x79,TLS_ECDH_RSA_WITH_CAMELLIA_256_CBC_SHA384,true,[RFC6367],,,,,,,
"0xC0,0x7A",0xC0,0x7A,TLS_RSA_WITH_CAMELLIA_128_GCM_SHA256,true,[RFC6367],,,,,,,
"0xC0,0x7B",0xC0,0x7B,TLS_RSA_WITH_CAMELLIA_256_GCM_SHA384,true,[RFC6367],,,,,,,
"0xC0,0x7C",0xC0,0x7C,TLS_DHE_RSA_WITH_CAMELLIA_128_GCM_SHA256,true,[RFC6367],,,,,,,
"0xC0,0x7D",0xC0,0x7D,TLS_DHE_RSA_WITH_CAMELLIA_256_GCM_SHA384,true,[RFC6367],,,,,,,
"0xC0,0x7E",0xC0,0x7E,TLS_DH_RSA_WITH_CAMELLIA_128_GCM_SHA256,true,[RFC6367],,,,,,,
"0xC0,0x7F",0xC0,0x7F,TLS_DH_RSA_WITH_CAMELLIA_256_GCM_SHA384,true,[RFC6367],,,,,,,
"0xC0,0x80",0xC0,0x80,TLS_DHE_DSS_WITH_CAMELLIA_128_GCM_SHA256,true,[RFC6367],,,,,,,
"0xC0,0x81",0xC0,0x81,TLS_DHE_DSS_WITH_CAMELLIA_256_GCM_SHA384,true,[RFC6367],,,,,,,
"0xC0,0x82",0xC0,0x82,TLS_DH_DSS_WITH_CAMELLIA_128_GCM_SHA256,true,[RFC6367],,,,,,,
"0xC0,0x83",0xC0,0x83,TLS_DH_DSS_WITH_CAMELLIA_256_GCM_SHA384,true,[RFC6367],,,,,,,
"0xC0,0x84",0xC0,0x84,TLS_DH_anon_WITH_CAMELLIA_128_GCM_SHA256,true,[RFC6367],,,,,,,
"0xC0,0x85",0xC0,0x85,TLS_DH_anon_WITH_CAMELLIA_256_GCM_SHA384,true,[RFC6367],,,,,,,
"0xC0,0x86",0xC0,0x86,TLS_ECDHE_ECDSA_WITH_CAMELLIA_128_GCM_SHA256,true,[RFC6367],,,,,,,
"0xC0,0x87",0xC0,0x87,TLS_ECDHE_ECDSA_WITH_CAMELLIA_256_GCM_SHA384,true,[RFC6367],,,,,,,
"0xC0,0x88",0xC0,0x88,TLS_ECDH_ECDSA_WITH_CAMELLIA_128_GCM_SHA256,true,[RFC6367],,,,,,,
"0xC0,0x89",0xC0,0x89,TLS_ECDH_ECDSA_WITH_CAMELLIA_256_GCM_SHA384,true,[RFC6367],,,,,,,
"0xC0,0x8A",0xC0,0x8A,TLS_ECDHE_RSA_WITH_CAMELLIA_128_GCM_SHA256,true,[RFC6367],,,,,,,
"0xC0,0x8B",0xC0,0x8B,TLS_ECDHE_RSA_WITH_CAMELLIA_256_GCM_SHA384,true,[RFC6367],,,,,,,
"0xC0,0x8C",0xC0,0x8C,TLS_ECDH_RSA_WITH_CAMELLIA_128_GCM_SHA256,true,[RFC6367],,,,,,,
"0xC0,0x8D",0xC0,0x8D,TLS_ECDH_RSA_WITH_CAMELLIA_256_GCM_SHA384,true,[RFC6367],,,,,,,
"0xC0,0x8E",0xC0,0x8E,TLS_PSK_WITH_CAMELLIA_128_GCM_SHA256,true,[RFC6367],,,,,,,
"0xC0,0x8F",0xC0,0x8F,TLS_PSK_WITH_CAMELLIA_256_GCM_SHA384,true,[RFC6367],,,,,,,
"0xC0,0x90",0xC0,0x90,TLS_DHE_PSK_WITH_CAMELLIA_128_GCM_SHA256,true,[RFC6367],,,,,,,
"0xC0,0x91",0xC0,0x91,TLS_DHE_PSK_WITH_CAMELLIA_256_GCM_SHA384,true,[RFC6367],,,,,,,
"0xC0,0x92",0xC0,0x92,TLS_RSA_PSK_WITH_CAMELLIA_128_GCM_SHA256,true,[RFC6367],,,,,,,
"0xC0,0x93",0xC0,0x93,TLS_RSA_PSK_WITH_CAMELLIA_256_GCM_SHA384,true,[RFC6367],,,,,,,
"0xC0,0x94",0xC0,0x94,TLS_PSK_WITH_CAMELLIA_128_CBC_SHA256,true,[RFC6367],,,,,,,
"0xC0,0x95",0xC0,0x95,TLS_PSK_WITH_CAMELLIA_256_CBC_SHA384,true,[RFC6367],,,,,,,
"0xC0,0x96",0xC0,0x96,TLS_DHE_PSK_WITH_CAMELLIA_128_CBC_SHA256,true,[RFC6367],,,,,,,
"0xC0,0x97",0xC0,0x97,TLS_DHE_PSK_WITH_CAMELLIA_256_CBC_SHA384,true,[RFC6367],,,,,,,
"0xC0,0x98",0xC0,0x98,TLS_RSA_PSK_WITH_CAMELLIA_128_CBC_SHA256,true,[RFC6367],,,,,,,
"0xC0,0x99",0xC0,0x99,TLS_RSA_PSK_WITH_CAMELLIA_256_CBC_SHA384,true,[RFC6367],,,,,,,
"0xC0,0x9A",0xC0,0x9A,TLS_ECDHE_PSK_WITH_CAMELLIA_128_CBC_SHA256,true,[RFC6367],,,,,,,
"0xC0,0x9B",0xC0,0x9B,TLS_ECDHE_PSK_WITH_CAMELLIA_256_CBC_SHA384,true,[RFC6367],,,,,,,
"0xC0,0x9C",0xC0,0x9C,TLS_RSA_WITH_AES_128_CCM,true,[RFC6655],,,,,,,
"0xC0,0x9D",0xC0,0x9D,TLS_RSA_WITH_AES_256_CCM,true,[RFC6655],,,,,,,
"0xC0,0x9E",0xC0,0x9E,TLS_DHE_RSA_WITH_AES_128_CCM,true,[RFC6655],,,,,,,
"0xC0,0x9F",0xC0,0x9F,TLS_DHE_RSA_WITH_AES_256_CCM,true,[RFC6655],,,,,,,
"0xC0,0xA0",0xC0,0xA0,TLS_RSA_WITH_AES_128_CCM_8,true,[RFC6655],,,,,,,
"0xC0,0xA1",0xC0,0xA1,TLS_RSA_WITH_AES_256_CCM_8,true,[RFC6655],,,,,,,
"0xC0,0xA2",0xC0,0xA2,TLS_DHE_RSA_WITH_AES_128_CCM_8,true,[RFC6655],,,,,,,
"0xC0,0xA3",0xC0,0xA3,TLS_DHE_RSA_WITH_AES_256_CCM_8,true,[RFC6655],,,,,,,
"0xC0,0xA4",0xC0,0xA4,TLS_PSK_WITH_AES_128_CCM,true,[RFC6655],,,,,,,
"0xC0,0xA5",0xC0,0xA5,TLS_PSK_WITH_AES_256_CCM,true,[RFC6655],,,,,,,
"0xC0,0xA6",0xC0,0xA6,TLS_DHE_PSK_WITH_AES_128_CCM,true,[RFC6655],,,,,,,
"0xC0,0xA7",0xC0,0xA7,TLS_DHE_PSK_WITH_AES_256_CCM,true,[RFC6655],,,,,,,
"0xC0,0xA8",0xC0,0xA8,TLS_PSK_WITH_AES_128_CCM_8,true,[RFC6655],,,,,,,
"0xC0,0xA9",0xC0,0xA9,TLS_PSK_WITH_AES_256_CCM_8,true,[RFC6655],,,,,,,
"0xC0,0xAA",0xC0,0xAA,TLS_PSK_DHE_WITH_AES_128_CCM_8,true,[RFC6655],,,,,,,
"0xC0,0xAB",0xC0,0xAB,TLS_PSK_DHE_WITH_AES_256_CCM_8,true,[RFC6655],,,,,,,
"0xC0,0xAC",0xC0,0xAC,TLS_ECDHE_ECDSA_WITH_AES_128_CCM,true,[RFC7251],,,,,,,
"0xC0,0xAD",0xC0,0xAD,TLS_ECDHE_ECDSA_WITH_AES_256_CCM,true,[RFC7251],,,,,,,
"0xC0,0xAE",0xC0,0xAE,TLS_ECDHE_ECDSA_WITH_AES_128_CCM_8,true,[RFC7251],,,,,,,
"0xC0,0xAF",0xC0,0xAF,TLS_ECDHE_ECDSA_WITH_AES_256_CCM_8,true,[RFC7251],,,,,,,
