Value,Byte1,Byte2,IANA,DTLS?,Reference,OpenSSL,Version,Kx,Au,Enc,Mac,Export?
"0x00,0x2A",0x00,0x2A,TLS_KRB5_EXPORT_WITH_RC2_CBC_40_MD5,true,[RFC2712],,,,,,,
"0x00,0x2B",0x00,0x2B,TLS_KRB5_EXPORT_WITH_RC4_40_MD5,false,[RFC2712][RFC6347],,,,,,,
"0x00,0x2C",0x00,0x2C,TLS_PSK_WITH_NULL_SHA,true,[RFC4785],,,,,,,
"0x00,0x2D",0x00,0x2D,TLS_DHE_PSK_WITH_NULL_SHA,true,[RFC4785],,,,,,,
"0x00,0x2E",0x00,0x2E,TLS_RSA_PSK_WITH_NULL_SHA,true,[RFC4785],,,,,,,
"0x00,0x2F",0x00,0x2F,TLS_RSA_WITH_AES_128_CBC_SHA,true,[RFC5246],AES128-SHA,SSLv3,RSA,RSA,AES(128),SHA1,false
"0x00,0x30",0x00,0x30,TLS_DH_DSS_WITH_AES_128_CBC_SHA,true,[RFC5246],,,,,,,
"0x00,0x31",0x00,0x31,TLS_DH_RSA_WITH_AES_128_CBC_SHA,true,[RFC5246],,,,,,,
"0x00,0x32",0x00,0x32,TLS_DHE_DSS_WITH_AES_128_CBC_SHA,true,[RFC5246],DHE-DSS-AES128-SHA,SSLv3,DH,DSS,AES(128),SHA1,false
"0x00,0x33",0x00,0x33,TLS_DHE_RSA_WITH_AES_128_CBC_SHA,true,[RFC5246],DHE-RSA-AES128-SHA,SSLv3,DH,RSA,AES(128),SHA1,false
"0x00,0x34",0x00,0x34,TLS_DH_anon_WITH_AES_128_CBC_SHA,true,[RFC5246],ADH-AES128-SHA,SSLv3,DH,None,AES(128),SHA1,false
"0x00,0x35",0x00,0x35,TLS_RSA_WITH_AES_256_CBC_SHA,true,[RFC5246],AES256-SHA,SSLv3,RSA,RSA,AES(256),SHA1,false
"0x00,0x36",0x00,0x36,TLS_DH_DSS_WITH_AES_256_CBC_SHA,true,[RFC5246],,,,,,,
"0x00,0x37",0x00,0x37,TLS_DH_RSA_WITH_AES_256_CBC_SHA,true,[RFC5246],,,,,,,
"0x00,0x38",0x00,0x38,TLS_DHE_DSS_WITH_AES_256_CBC_SHA,true,[RFC5246],DHE-DSS-AES256-SHA,SSLv3,DH,DSS,AES(256),SHA1,false
"0x00,0x39",0x00,0x39,TLS_DHE_RSA_WITH_AES_256_CBC_SHA,true,[RFC5246],DHE-RSA-AES256-SHA,SSLv3,DH,RSA,AES(256),SHA1,false
"0x00,0x3A",0x00,0x3A,TLS_DH_anon_WITH_AES_256_CBC_SHA,true,[RFC5246],ADH-AES256-SHA,SSLv3,DH,None,AES(256),SHA1,false
"0x00,0x3B",0x00,0x3B,TLS_RSA_WITH_NULL_SHA256,true,[RFC5246],,,,,,,
"0x00,0x3C",0x00,0x3C,TLS_RSA_WITH_AES_128_CBC_SHA256,true,[RFC5246],AES128-SHA256,TLSv1.2,RSA,RSA,AES(128),SHA256,false
"0x00,0x3D",0x00,0x3D,TLS_RSA_WITH_AES_256_CBC_SHA256,true,[RFC5246],AES256-SHA256,TLSv1.2,RSA,RSA,AES(256),SHA256,false
"0x00,0x3E",0x00,0x3E,TLS_DH_DSS_WITH_AES_128_CBC_SHA256,true,[RFC5246],,,,,,,
"0x00,0x3F",0x00,0x3F,TLS_DH_RSA_WITH_AES_128_CBC_SHA256,true,[RFC5246],,,,,,,
"0x00,0x40",0x00,0x40,TLS_DHE_DSS_WITH_AES_128_CBC_SHA256,true,[RFC5246],DHE-DSS-AES128-SHA256,TLSv1.2,DH,DSS,AES(128),SHA256,false
"0x00,0x41",0x00,0x41,TLS_RSA_WITH_CAMELLIA_128_CBC_SHA,true,[RFC5932],CAMELLIA128-SHA,SSLv3,RSA,RSA,Camellia(128),SHA1,false
"0x00,0x42",0x00,0x42,TLS_DH_DSS_WITH_CAMELLIA_128_CBC_SHA,true,[RFC5932],,,,,,,
"0x00,0x43",0x00,0x43,TLS_DH_RSA_WITH_CAMELLIA_128_CBC_SHA,true,[RFC5932],,,,,,,
"0x00,0x44",0x00,0x44,TLS_DHE_DSS_WITH_CAMELLIA_128_CBC_SHA,true,[RFC5932],DHE-DSS-CAMELLIA128-SHA,SSLv3,DH,DSS,Camellia(128),SHA1,false
"0x00,0x45",0x00,0x45,TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA,true,[RFC5932],DHE-RSA-CAMELLIA128-SHA,SSLv3,DH,RSA,Camellia(128),SHA1,false
"0x00,0x46",0x00,0x46,TLS_DH_anon_WITH_CAMELLIA_128_CBC_SHA,true,[RFC5932],ADH-CAMELLIA128-SHA,SSLv3,DH,None,Camellia(128),SHA1,false
"0x00,0x67",0x00,0x67,TLS_DHE_RSA_WITH_AES_128_CBC_SHA256,true,[RFC5246],DHE-RSA-AES128-SHA256,TLSv1.2,DH,RSA,AES(128),SHA256,false
"0x00,0x68",0x00,0x68,TLS_DH_DSS_WITH_AES_256_CBC_SHA256,true,[RFC5246],,,,,,,
"0x00,0x69",0x00,0x69,TLS_DH_RSA_WITH_AES_256_CBC_SHA256,true,[RFC5246],,,,,,,
"0x00,0x6A",0x00,0x6A,TLS_DHE_DSS_WITH_AES_256_CBC_SHA256,true,[RFC5246],DHE-DSS-AES256-SHA256,TLSv1.2,DH,DSS,AES(256),SHA256,false
"0x00,0x6B",0x00,0x6B,TLS_DHE_RSA_WITH_AES_256_CBC_SHA256,true,[RFC5246],DHE-RSA-AES256-SHA256,TLSv1.2,DH,RSA,AES(256),SHA256,false
"0x00,0x6C",0x00,0x6C,TLS_DH_anon_WITH_AES_128_CBC_SHA256,true,[RFC5246],ADH-AES128-SHA256,TLSv1.2,DH,None,AES(128),SHA256,false
"0x00,0x6D",0x00,0x6D,TLS_DH_anon_WITH_AES_256_CBC_SHA256,true,[RFC5246],ADH-AES256-SHA256,TLSv1.2,DH,None,AES(256),SHA256,false
"0x00,0x84",0x00,0x84,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA,true,[RFC5932],CAMELLIA256-SHA,SSLv3,RSA,RSA,Camellia(256),SHA1,false
"0x00,0x85",0x00,0x85,TLS_DH_DSS_WITH_CAMELLIA_256_CBC_SHA,true,[RFC5932],,,,,,,
"0x00,0x86",0x00,0x86,TLS_DH_RSA_WITH_CAMELLIA_256_CBC_SHA,true,[RFC5932],,,,,,,
"0x00,0x87",0x00,0x87,TLS_DHE_DSS_WITH_CAMELLIA_256_CBC_SHA,true,[RFC5932],DHE-DSS-CAMELLIA256-SHA,SSLv3,DH,DSS,Camellia(256),SHA1,false
"0x00,0x88",0x00,0x88,TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA,true,[RFC5932],DHE-RSA-CAMELLIA256-SHA,SSLv3,DH,RSA,Camellia(256),SHA1,false
"0x00,0x89",0x00,0x89,TLS_DH_anon_WITH_CAMELLIA_256_CBC_SHA,true,[RFC5932],ADH-CAMELLIA256-SHA,SSLv3,DH,None,Camellia(256),SHA1,false
